Method,Stock,MSE,RMSE,MAE,R2
LSTM,AAPL_Close,0.08021430363840161,0.2832212979957574,0.26283172072144767,-6.2852936186177235
LSTM,MSFT_Close,0.12512460383309587,0.35372956313135023,0.3312318110096172,-7.197933137703096
LSTM,GOOGL_Close,0.05917435777138044,0.24325780104938144,0.2099518879938683,-2.863761653083165
LSTM,TSLA_Close,0.08237042732866252,0.28700248662452826,0.2559051761703092,-3.548371207198884
LSTM,AMZN_Close,0.021255426647696498,0.14579240943100055,0.11977286828943146,-0.5228519183350551
LSTM,NVDA_Close,0.12110048727635754,0.34799495294667354,0.250552285406315,-0.8829566457441929
LSTM,JPM_Close,0.0439393845694619,0.20961723347440187,0.1767266831578969,-2.078723578960767
LSTM,V_Close,0.03732650664814235,0.1932006900819517,0.17124389350937497,-3.3315125922681883
LSTM,XOM_Close,0.26695426230443764,0.5166761677341405,0.5024257009001818,-17.9473038930106
ARIMA,AAPL_Close,0.005347284478007943,0.07312512890934239,0.061535903534698407,-0.013107661277545146
ARIMA,MSFT_Close,0.007085337877518616,0.08417444907760677,0.07148667827380792,-0.2772053065273925
ARIMA,GOOGL_Close,0.0451953770119237,0.21259204362328263,0.19196164296942012,-3.0486757760358003
ARIMA,TSLA_Close,0.033249491312896645,0.18234443044112053,0.15692504459305773,-0.4588170885035552
