Method,Stock,MSE,RMSE,MAE,R2
ARIMA,AMZN_Close,0.05101253733341065,0.2258595522297223,0.2050353172861189,-2.6793259134131424
ARIMA,NVDA_Close,0.016670626700074437,0.12911478110609348,0.11208971300729635,-0.14910466340345963
ARIMA,JPM_Close,0.0074245383713649185,0.08616576101541099,0.07638283509103327,-0.01137380092967577
ARIMA,V_Close,0.010795739367920727,0.103902547456358,0.0894341557248092,-1.3760386797691053
ARIMA,XOM_Close,0.04694650457039635,0.21667142075132187,0.18156728635798164,-1.9842703701519184
VAR,AAPL_Close,2.104619340678796E-5,0.004587613040219059,0.0038100723444496015,0.9980871590835683
VAR,MSFT_Close,4.2597963073544025E-6,0.0020639273987605286,0.0016145491579380206,0.9997290507847589
VAR,GOOGL_Close,1.4303197488950229E-5,0.003781956833300749,0.003054720397992633,0.9990998874715796
VAR,TSLA_Close,3.647861663219775E-5,0.006039753027417408,0.004973637102696342,0.9978533071001939
VAR,AMZN_Close,1.4348269036483142E-5,0.003787910906618996,0.003100855757150856,0.9989620504066441
VAR,NVDA_Close,1.0623522268339251E-5,0.0032593745210299555,0.0023267689441833603,0.9998390453284149
VAR,JPM_Close,1.8035611272653923E-5,0.004246835442144412,0.003518661787014394,0.9987670913383045
VAR,V_Close,1.1011221805440573E-5,0.003318316109932954,0.002504144954815091,0.9987577482687727
VAR,XOM_Close,2.12540580670131E-5,0.004610212366801892,0.0035549210729764543,0.9984740007962138
